instance,bundle,bundle_bits,size,price,profit_per_sale,train_buyers,train_share,out_buyers,out_share,share_delta,revenue_delta_per_customer,train_avg_surplus,train_min_surplus,out_near_miss_count,out_near_miss_choose_outside,out_near_miss_choose_other_bundle,out_top_substitute
inst005,22,10110,3,15.010151,1.860151,1,0.02,48,0.0096,-0.0104,-0.019346,0.490313,0.490313,163,0,163,31 x 41
inst005,2,00010,1,8.23751,0.98751,2,0.04,115,0.023,-0.017,-0.016788,0.016789,0.0,281,39,242,6 x 57
inst005,16,10000,1,1.555195,0.755195,2,0.04,89,0.0178,-0.0222,-0.016765,0.000216,0.0,244,46,198,20 x 67
inst005,29,11101,4,20.511106,2.261106,1,0.02,78,0.0156,-0.0044,-0.009949,0.064631,0.064631,165,1,164,20 x 36
inst005,4,00100,1,24.603819,19.503819,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst005,12,01100,2,27.119123,19.069123,0,0.0,0,0.0,0.0,0.0,,,0,0,0,
inst005,17,10001,2,12.269731,2.069731,0,0.0,1,0.0002,0.0002,0.000414,,,55,0,55,31 x 16
inst005,24,11000,2,5.498221,1.748221,0,0.0,3,0.0006,0.0006,0.001049,,,57,1,56,31 x 22
inst005,30,11110,4,18.7523,2.6523,0,0.0,2,0.0004,0.0004,0.001061,,,102,0,102,31 x 36
inst005,11,01011,3,21.574517,1.974517,2,0.04,205,0.041,0.001,0.001975,0.356478,0.297545,198,25,173,31 x 34
inst005,18,10010,2,9.792705,1.742705,0,0.0,8,0.0016,0.0016,0.002788,,,110,0,110,31 x 26
inst005,28,11100,3,10.80254,1.95254,0,0.0,9,0.0018,0.0018,0.003515,,,112,0,112,20 x 37
inst005,1,00001,1,10.714536,1.314536,0,0.0,18,0.0036,0.0036,0.004732,,,167,17,150,31 x 23
inst005,9,01001,2,13.76706,1.41706,2,0.04,218,0.0436,0.0036,0.005101,0.037359,0.0,221,37,184,31 x 35
inst005,10,01010,2,11.892786,1.692786,0,0.0,18,0.0036,0.0036,0.006094,,,142,7,135,31 x 43
inst005,21,10101,3,17.402493,2.102493,0,0.0,16,0.0032,0.0032,0.006728,,,134,0,134,20 x 33
inst005,8,01000,1,3.943026,0.993026,0,0.0,42,0.0084,0.0084,0.008341,,,156,27,129,31 x 27
inst005,26,11010,3,13.17163,2.17163,0,0.0,20,0.004,0.004,0.008687,,,73,0,73,31 x 27
inst005,19,10011,3,19.506945,2.056945,1,0.02,130,0.026,0.006,0.012342,0.299062,0.299062,145,12,133,31 x 29
inst005,7,00111,3,23.826367,2.076367,1,0.02,167,0.0334,0.0134,0.027823,0.290047,0.290047,201,10,191,6 x 31
inst005,20,10100,2,6.859514,0.959514,4,0.08,547,0.1094,0.0294,0.02821,0.115617,0.0,265,58,207,31 x 44
inst005,6,00110,2,13.660861,1.310861,2,0.04,335,0.067,0.027,0.035393,0.030544,0.0,227,43,184,20 x 32
inst005,27,11011,4,22.704729,2.304729,0,0.0,159,0.0318,0.0318,0.07329,,,159,6,153,11 x 20
inst005,13,01101,3,19.24701,1.79701,0,0.0,294,0.0588,0.0588,0.105664,,,195,14,181,9 x 39
